UID,PHASE,cnn_emb_0,cnn_emb_1,cnn_emb_2,cnn_emb_3,cnn_emb_4,cnn_emb_5,cnn_emb_6,cnn_emb_7,cnn_emb_8,cnn_emb_9,cnn_emb_10,cnn_emb_11,cnn_emb_12,cnn_emb_13,cnn_emb_14,cnn_emb_15,cnn_emb_16,cnn_emb_17,cnn_emb_18,cnn_emb_19,cnn_emb_20,cnn_emb_21,cnn_emb_22,cnn_emb_23,cnn_emb_24,cnn_emb_25,cnn_emb_26,cnn_emb_27,cnn_emb_28,cnn_emb_29,cnn_emb_30,cnn_emb_31,cnn_emb_32,cnn_emb_33,cnn_emb_34,cnn_emb_35,cnn_emb_36,cnn_emb_37,cnn_emb_38,cnn_emb_39,cnn_emb_40,cnn_emb_41,cnn_emb_42,cnn_emb_43,cnn_emb_44,cnn_emb_45,cnn_emb_46,cnn_emb_47,cnn_emb_48,cnn_emb_49,cnn_emb_50,cnn_emb_51,cnn_emb_52,cnn_emb_53,cnn_emb_54,cnn_emb_55,cnn_emb_56,cnn_emb_57,cnn_emb_58,cnn_emb_59,cnn_emb_60,cnn_emb_61,cnn_emb_62,cnn_emb_63
1,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.133432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4528236,4.647678,0.0,0.0,0.0,0.53368616,0.0,0.0,0.0,0.0,0.0,6.966748,0.0,6.0953765,3.4849093,5.17738,0.0,4.386159,0.0,4.596444,0.0,0.0,0.0,7.942127,0.0,0.0,0.0,5.007732,0.0,0.0,4.5181623,4.8369536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0502863,0.0,0.0,0.0,4.9269323,6.4497175,5.669894,4.4547377
1,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8272595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.264241,5.324376,0.0,0.0,0.0,1.1150088,0.04039587,0.0,0.0,0.0,0.0,8.242568,0.0,6.921829,4.337326,6.1281524,0.0,4.726654,0.0,4.898987,0.0,0.0,0.0,8.189173,0.104914635,0.0,0.0,4.4459805,0.0,0.0,4.994566,5.364194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.817601,0.0,0.0,0.0,5.4417877,7.949385,6.1585393,5.01291
10,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0095377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1547337,5.024444,0.0,0.0,0.0,5.7338495,0.0,0.0,0.0,0.0,0.0,7.190347,0.0,4.5995283,4.021816,4.921571,0.0,4.168933,0.0,5.3390093,0.0,0.0,0.0,1.1927459,0.0,0.0,0.0,2.6645422,0.0,0.0,3.8068504,4.7743998,0.0,0.0,0.0,0.15360089,0.0,0.0,0.0,3.8816578,4.1574073,0.0,0.0,4.5628023,6.3304415,4.1450315,4.2045083
10,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.108697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4403934,4.500095,0.0,0.0,0.0,4.8364577,0.0,0.0,0.0,0.0,0.0,6.0881653,0.0,3.8554173,4.011835,4.2665663,0.0,3.4116495,0.0,5.0655556,0.0,0.0,0.0,3.7008815,0.0,0.0,0.0,3.1656792,0.0,0.0,3.4670138,4.2471657,0.0,0.0,0.0,1.9864082,0.0,0.0,0.0,4.083654,4.5633183,0.0,0.0,3.8605158,5.5516777,4.0231113,3.924485
100,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6848135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.520167,4.282984,0.0,0.0,0.0,5.495358,0.0,0.0,0.0,0.0,0.0,7.0281,0.0,3.6800818,4.140172,4.302441,0.0,3.4897757,0.0,5.39021,0.0,0.0,0.0,1.4656856,0.0,0.0,0.0,2.8324428,0.0,0.0,3.6516418,4.558893,0.0,0.0,0.0,3.3520155,0.0,0.0,0.0,3.593884,5.571208,0.0,0.0,4.112668,5.429504,2.8947258,3.987111
100,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6690855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6602345,4.4410276,0.0,0.0,0.0,5.7560754,0.0,0.0,0.0,0.0,0.0,6.9598284,0.0,3.7517345,4.2714195,4.5477195,0.0,3.5299191,0.0,5.369626,0.0,0.0,0.0,2.4491248,0.0,0.0,0.0,3.7686121,0.0,0.0,3.5796676,4.6204004,0.0,0.0,0.0,4.1947317,0.0,0.0,0.0,3.79208,5.609618,0.0,0.0,4.4857273,5.630276,3.4744854,4.2560964
101,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3462114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6597795,2.958494,0.0,0.0,0.0,4.324113,0.0,0.0,0.0,0.0,0.0,5.394886,0.0,2.5913022,3.3114946,3.2981894,0.0,2.9308388,0.0,4.542394,0.0,0.0,0.0,2.9796824,0.0,0.0,0.0,4.6439304,0.0,0.0,2.9018633,4.222213,0.0,0.0,0.0,6.0377626,0.0,0.0,0.0,2.97969,4.8187447,0.0,0.0,3.5227993,4.534406,2.8534012,3.4078395
101,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6295643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1546173,3.0841448,0.0,0.0,0.0,4.894088,0.0,0.0,0.0,0.0,0.0,5.927368,0.0,2.6343555,3.5622761,3.5032215,0.0,3.28381,0.0,5.035305,0.0,0.0,0.0,3.1537693,0.0,0.0,0.0,4.986804,0.0,0.0,3.2773564,4.4839144,0.0,0.0,0.0,7.0782814,0.0,0.0,0.0,3.2314029,5.4191356,0.0,0.0,3.6961362,4.9820256,3.0852747,3.7687094
102,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0838614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8457594,4.276298,0.0,0.0,0.0,3.7984493,0.0,0.0,0.0,0.0,0.0,5.30472,0.0,4.393077,3.9345748,3.958291,0.0,3.2797294,0.0,4.5192914,0.0,0.0,0.0,4.991353,0.0,0.0,0.0,4.055071,0.0,0.0,3.4005585,3.875002,0.0,0.0,0.0,0.82769454,0.0,0.0,0.0,3.500791,2.095003,0.0,0.0,4.1584263,5.0309396,4.9834456,3.898104
102,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.963564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8079772,4.2408566,0.0,0.0,0.0,3.9139667,0.0,0.0,0.0,0.0,0.0,5.555541,0.0,4.239385,3.9300406,3.825799,0.0,3.3195052,0.0,4.5904403,0.0,0.0,0.0,4.85544,0.0,0.0,0.0,4.0454755,0.0,0.0,3.3148737,4.0064325,0.0,0.0,0.0,1.700064,0.0,0.0,0.0,3.559236,2.8337588,0.0,0.0,4.329106,5.195868,4.8379025,4.001641
103,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5209837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4202905,5.1137304,0.0,0.0,0.0,5.212007,0.0,0.0,0.0,0.0,0.0,6.4944973,0.0,4.285505,3.8581543,4.905979,0.0,3.3982224,0.0,5.2366867,0.0,0.0,0.0,1.4913956,0.0,0.0,0.0,1.403947,0.0,0.0,3.7009344,4.427911,0.0,0.0,0.0,0.23567842,0.0,0.0,0.0,4.240449,5.454667,0.0,0.0,3.9631805,5.7431836,3.1011288,3.9752653
103,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2182055,4.2454853,0.0,0.0,0.0,4.935918,0.0,0.0,0.0,0.0,0.0,6.022963,0.0,3.2065816,3.6782186,3.9487367,0.0,3.0014448,0.0,4.8334203,0.0,0.0,0.0,2.7252765,0.0,0.0,0.0,3.1068606,0.0,0.0,3.3930302,4.252234,0.0,0.0,0.0,3.245621,0.0,0.0,0.0,3.7207491,4.8391957,0.0,0.0,3.584499,5.051791,3.1071286,3.9083395
104,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2708325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5452704,3.0993328,0.0,0.0,0.0,4.4699373,0.0,0.0,0.0,0.0,0.0,5.680474,0.0,2.7711143,3.6098201,3.5379734,0.0,2.9898343,0.0,4.573195,0.0,0.0,0.0,4.3172145,0.0,0.0,0.0,5.306481,0.0,0.0,3.251262,4.394864,0.0,0.0,0.0,6.969742,0.0,0.0,0.0,3.0935602,4.8147354,0.0,0.0,3.786992,4.6545205,3.4914212,3.6710312
104,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3480182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8581188,3.0668235,0.0,0.09343678,0.0,4.670623,0.0,0.0,0.0,0.0,0.0,6.1717176,0.0,2.8690748,3.864807,3.6725287,0.0,3.248591,0.0,4.8545523,0.0,0.0,0.0,4.8245792,0.0,0.0,0.0,5.707353,0.0,0.0,3.435013,4.6509485,0.0,0.0,0.0,7.894659,0.0,0.0,0.0,3.2838216,5.0394163,0.0,0.0,4.0833426,4.9732237,3.759418,3.8435435
105,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9297657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8850005,3.9030695,0.0,0.0,0.0,4.453175,0.0,0.0,0.0,0.0,0.0,5.4956455,0.0,2.8460681,3.5411203,3.4400904,0.0,3.0264797,0.0,4.423605,0.0,0.0,0.0,3.392954,0.0,0.0,0.0,4.0975494,0.0,0.0,3.0968394,4.1577015,0.0,0.0,0.0,3.9440265,0.0,0.0,0.0,3.4014964,3.858489,0.0,0.0,3.7761788,4.9822793,3.8517609,3.8912635
105,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0345354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1651173,3.8453412,0.0,0.0,0.0,4.8063397,0.0,0.0,0.0,0.0,0.0,5.980662,0.0,2.87149,3.6832242,3.6650198,0.0,3.2264671,0.0,4.81477,0.0,0.0,0.0,2.4604907,0.0,0.0,0.0,3.4904695,0.0,0.0,3.189869,4.294438,0.0,0.0,0.0,4.0844927,0.0,0.0,0.0,3.5110774,4.49879,0.0,0.0,3.8731315,4.8322,3.448512,3.6097746
106,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3824368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.039899,3.1763072,0.0,0.0,0.0,4.294492,0.0,0.0,0.0,0.0,0.0,5.537019,0.0,3.152016,3.4738765,3.3531885,0.0,3.2005877,0.0,4.584856,0.0,0.0,0.0,5.06709,0.0,0.0,0.0,4.7830777,0.0,0.0,2.9817314,3.9742503,0.0,0.0,0.0,5.0940914,0.0,0.0,0.0,3.2260258,4.345481,0.0,0.0,3.7251108,4.6917634,3.9651482,3.632893
106,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4980738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9526901,3.3260493,0.0,0.0,0.0,4.7650948,0.0,0.0,0.0,0.0,0.0,5.582534,0.0,3.066584,3.662643,3.4063556,0.0,3.0675168,0.0,4.6037974,0.0,0.0,0.0,5.1866727,0.0,0.0,0.0,5.174474,0.0,0.0,3.248323,4.02303,0.0,0.0,0.0,5.912526,0.0,0.0,0.0,3.4804997,4.8510475,0.0,0.0,3.8832307,4.924035,4.202153,3.7609684
107,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.284925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0957875,4.0104847,0.0,0.0,0.0,4.669464,0.0,0.0,0.0,0.0,0.0,5.979146,0.0,3.081923,3.8438988,3.848856,0.0,3.3254766,0.0,5.002944,0.0,0.0,0.0,3.617251,0.0,0.0,0.0,4.1072497,0.0,0.0,3.3375711,4.374116,0.0,0.0,0.0,3.7609458,0.0,0.0,0.0,3.30986,3.220108,0.0,0.0,4.016101,5.285081,4.1028957,4.279126
107,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.403384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.258751,4.359644,0.0,0.0,0.0,4.7260423,0.0,0.0,0.0,0.0,0.0,6.1746387,0.0,3.448287,4.0635138,4.0792055,0.0,3.365969,0.0,4.7730827,0.0,0.0,0.0,3.0925674,0.0,0.0,0.0,3.5616863,0.0,0.0,3.318284,4.519645,0.0,0.0,0.0,2.5602705,0.0,0.0,0.0,3.4286454,3.4558,0.0,0.0,4.103608,5.4401093,3.9753344,4.204903
108,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4863865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0508175,3.4222054,0.0,0.0,0.0,4.520524,0.0,0.0,0.0,0.0,0.0,5.496841,0.0,2.8934755,3.6262305,3.5355496,0.0,3.0018744,0.0,4.672255,0.0,0.0,0.0,3.183238,0.0,0.0,0.0,4.2477036,0.0,0.0,3.0535083,4.4154415,0.0,0.0,0.0,4.4410477,0.0,0.0,0.0,3.3874764,4.622454,0.0,0.0,3.7929795,4.9764915,3.3734612,3.6300712
108,venous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7121685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.227535,3.8310404,0.0,0.0,0.0,4.8181233,0.0,0.0,0.0,0.0,0.0,5.7142076,0.0,2.9042506,3.872031,3.718435,0.0,3.1300378,0.0,4.6724367,0.0,0.0,0.0,3.0433624,0.0,0.0,0.0,3.870411,0.0,0.0,3.346169,4.370797,0.0,0.0,0.0,3.8802915,0.0,0.0,0.0,3.4771514,4.4904346,0.0,0.0,3.761347,5.4359202,3.74292,3.8083782
